date,Open,High,Low,Close,weight,Volume
2023-05-02,66000,66300,65100,65700,2.6,14396948
2023-05-03,65100,65600,64900,65400,2.9,8876749
2023-05-04,65600,65700,64700,65100,3.2,9791064
2023-05-08,66300,66300,65400,65900,3.5,9405365
2023-05-09,65800,65800,65100,65300,3.7,9366861
2023-05-10,65500,65500,64300,64600,3.4,13057727
2023-05-11,64700,65100,64200,64200,3.8,11648905
2023-05-12,63700,64600,63600,64100,2.8,8693913
2023-05-15,64100,64600,63900,64500,2.5,8172021
2023-05-16,65800,65900,65300,65400,3.1,12334657
2023-05-17,65900,65900,64800,65000,2,10745504
2023-05-18,66000,66200,65700,66200,2.4,14431704
2023-05-19,67800,68400,67500,68400,2.6,20349345
2023-05-22,68400,69000,68000,68500,2.4,14470308
2023-05-23,68500,68700,68100,68400,3,8561643
2023-05-24,68100,68700,68000,68500,2.7,8192896
2023-05-25,69900,70000,68700,68800,3.3,14231160
2023-05-26,69800,70400,69500,70300,3.5,19549511
2023-05-30,71300,72300,71200,72300,3.7,27476897
2023-05-31,72400,72500,71000,71400,2.7,25666087
2023-06-01,70900,71600,70600,70900,2.9,14669296
2023-06-02,71700,72200,71600,72200,2.7,12161798
2023-06-05,72700,72700,71400,71700,3.1,12686829
2023-06-07,71300,71600,70800,71000,2.8,14796613
2023-06-08,70400,70900,70000,70900,3.5,19165568
2023-06-09,71100,72300,70800,72000,2.3,15050209
2023-06-12,72100,72400,70800,71000,2.2,12064287
2023-06-13,71700,72200,71600,72000,2.5,13227285
2023-06-14,72100,72200,71100,71900,2.8,12541046
2023-06-15,72100,72300,71300,71500,2.9,13614994
2023-06-16,71800,71900,70900,71800,3,15373696
2023-06-19,71300,71700,70900,71200,3.8,11100887
2023-06-20,70700,71400,70400,71400,4.2,11557883
2023-06-21,70700,71200,70400,70500,3.6,10626603
2023-06-22,70200,71500,70100,71300,2.8,11411007
2023-06-23,72000,72200,71600,71600,2.8,12329484
2023-06-26,71700,72500,71500,72400,2.7,10541901
2023-06-27,72500,72600,72000,72600,2.3,9442997
2023-06-28,72600,72700,72000,72700,2.4,8783093
2023-06-29,73100,73400,72400,72400,2.6,12229967
