Open,High,Low,Close,Adj Close
63100,63200,62300,62900,61840.66406
62900,62900,61700,61900,60857.50781
62200,62500,61600,62400,61349.08594
62400,62700,61700,62700,61644.03516
62000,62000,61300,61400,60365.92578
61800,62400,61400,61800,60759.19141
61400,61800,60800,61400,60365.92578
60900,61200,60300,60600,59579.39844
61200,61300,60700,61000,59972.66797
61200,61700,60900,61400,60365.92578
61400,61700,60800,61000,59972.66797
60500,60500,59800,60100,59087.82031
59900,60600,59800,60600,59579.39844
60400,62200,60200,62200,61152.45313
63100,63200,62300,62600,61545.71484
62500,62500,60400,60400,59382.76953
60900,61100,60000,60300,59284.45313
59800,60100,59200,59200,58202.98047
58800,59600,58500,58900,57908.03125
58700,59200,58600,59200,58202.98047
59300,60600,59300,60400,59382.76953
59900,60000,59400,59500,58497.92578
59600,60300,59400,59700,58694.5625
59800,60600,59800,60500,59481.08984
59800,60200,59300,59300,58301.29297
58300,59500,58300,59500,58497.92578
59500,59900,59100,59500,58497.92578
59000,59100,58500,58600,57613.08594
58700,59100,58000,58000,57023.19141
58100,59100,58100,59100,58104.66406
58200,58400,57700,58100,57121.50391
58000,58100,57700,57900,56924.875
58000,58400,57900,58100,57121.50391
57600,57600,56400,56600,55994.6875
56000,56200,55300,55300,54708.58984
55500,56100,55200,55500,54906.44922
55400,56000,54500,55400,54807.51953
55700,58000,55600,57800,57181.85156
58200,58800,57600,58200,57577.57422
58300,59400,57900,59000,58369.01953
59700,60700,59600,60700,60050.83984
60200,61100,59900,60400,59754.04688
61000,61200,60300,60500,59852.98047
61100,61200,59900,60500,59852.98047
60500,61200,60400,60800,60149.76953
61300,61600,60800,61100,60446.55859
61200,61500,60600,61000,60347.63281
60700,61000,59900,60400,59754.04688
60500,61500,60400,61500,60842.28516
62100,62300,61100,61800,61139.07422
63500,63700,63000,63300,62623.03516
63800,63900,63300,63800,63117.6875
64400,65000,63900,64600,63909.13281
64900,64900,63100,63300,62623.03516
63500,63700,61000,61400,60743.35156
62600,62700,61000,61000,60347.63281
63200,63900,62600,63500,62820.89453
63900,64000,63000,63500,62820.89453
62800,63000,61600,61600,60941.21094
61900,62500,61600,62000,61336.9375
62800,63300,62400,63100,62425.17188
63000,63300,62300,63300,62623.03516
62600,63000,62400,62900,62227.30859
