Open,High,Low,Close,Volume
1216.63,1217.17,1216.6,1216.61,1287.9356
1216.61,1217.08,1215.05,1215.19,2005.4306
1215.19,1215.4,1214.51,1215.2,2290.1843
1215.19,1215.2,1213.99,1214.14,1289.5851
1214.15,1216.27,1214.14,1215.63,1787.3874
1215.64,1216.39,1215.63,1215.99,1565.1674
1215.99,1216.72,1215.99,1216.31,3713.893
1216.32,1217.82,1216.29,1217.66,1748.6499
1217.65,1218.57,1217.08,1217.48,1972.2146
1217.49,1218.4,1216.87,1216.88,2649.9497
1216.88,1217.38,1215.96,1216.52,3859.4183
1216.53,1216.83,1216.17,1216.82,783.4587
1216.82,1216.83,1215.73,1215.73,1067.0991
1215.73,1216.01,1215.51,1215.69,916.7653
1215.69,1215.86,1215.14,1215.8,1202.7951
1215.79,1216.92,1214.69,1214.79,1512.9439
1214.8,1215.2,1214.19,1214.98,1513.9196
1214.98,1215.57,1214.83,1215.35,1185.735
1215.34,1216.39,1215.01,1215.92,1292.1505
1215.91,1216.5,1215.79,1216.38,1001.775
1216.39,1216.39,1214.5,1215.35,2174.9803
1215.35,1216.9,1215.21,1216.09,2000.1186
1216.1,1217.19,1215.87,1215.92,2426.25
1215.92,1216.91,1215.91,1216.47,1083.9505
1216.47,1217.84,1216.1,1216.4,3853.8301
1216.4,1218.54,1216.38,1218.37,2236.0655
1218.37,1218.37,1217,1217.96,2678.4632
1217.95,1219.24,1216.14,1217.74,5650.9584
1217.73,1217.95,1206,1210.33,16061.3127
1210.32,1211.83,1209.01,1209.82,5279.1441
1209.82,1210.55,1207.33,1209.59,5346.276
1209.6,1210.33,1207.09,1209.65,3054.339
1209.66,1212.15,1209.65,1211.76,3000.1943
1211.77,1212.76,1209.12,1209.12,3078.3038
1209.13,1210.23,1207.34,1209.38,3915.5517
1209.39,1210.62,1207.7,1209.8,2512.0396
1209.79,1209.88,1207.31,1207.71,2827.8519
1207.71,1209.74,1207.5,1209.35,1773.7453
1209.35,1209.4,1207.43,1208.24,1748.476
1208.24,1209.57,1207.9,1207.9,1210.3646
1207.9,1208.77,1206.88,1208.75,1416.0553
1208.74,1208.75,1206.92,1207.52,1790.2865
1207.53,1209.18,1207.1,1209.17,1375.5945
1209.18,1209.18,1207.9,1207.99,1103.4248
1207.99,1208,1206.66,1207.88,1888.5962
1207.87,1208,1204.93,1207.47,4238.9712
1207.46,1208.77,1207.42,1208.05,1611.4544
1208.05,1209.01,1207.11,1208.79,1751.4547
1208.78,1210.61,1208.78,1209.5,2192.9293
1209.51,1211.34,1209.44,1211.08,2402.1651
1211.08,1212.92,1210.54,1211.25,3787.9188
1211.25,1212.64,1210.96,1211.5,1299.9565
1211.5,1211.51,1210.16,1211,4445.8337
1210.99,1211.92,1210.34,1211.91,1090.1412
1211.92,1212.3,1211.09,1211.68,5991.1735
1211.68,1212.59,1211.13,1212.18,5108.8045
1212.18,1212.2,1210.77,1211.48,1159.6984
1211.49,1211.9,1210.57,1210.58,1074.736
1210.58,1211.1,1210.21,1211.09,825.4961
1211.1,1211.51,1210.52,1211,1087.281
1211,1212.98,1210.99,1212.69,1421.4254
1212.69,1216.39,1212.24,1214.73,4820.8038
1214.73,1215.56,1214.23,1214.65,1076.6218
1214.65,1214.84,1214.01,1214.81,672.6971
1214.81,1214.91,1214.55,1214.55,337.5077
1214.56,1214.96,1214.01,1214.11,1219.8094
1214.1,1214.9,1213.86,1214.73,1274.8268
1214.73,1214.73,1213.1,1213.1,1116.0498
1213.1,1213.54,1212.71,1213.53,696.8657
1213.54,1220.99,1213.27,1219.5,7469.5756
1219.49,1228.85,1218.94,1225.66,16003.1832
1225.67,1228.04,1223.78,1224.16,4556.697
1224.16,1225.2,1223.19,1224.1,2238.1992
1224.11,1229.08,1224.1,1226.54,6819.6568
1226.55,1228.42,1226.08,1227.31,5484.1676
1227.31,1234.5,1227.31,1231.21,10285.0255
1231.2,1233.06,1229.42,1231.6,5944.4404
1231.6,1254.96,1231.6,1249.84,50190.6991
1249.84,1250.93,1246.34,1247.89,8427.1993
